id,name,nationality,sex,date_of_birth
929131268,Alejandra Valencia,MEX,female,1994-10-17
419155357,Alejandra Zavala Vazquez,MEX,female,1984-06-16
440339638,Alejandro Enrique Valdes Tobier,CUB,male,1988-11-18
691394107,Alejandro Foglia Costa,URU,male,1984-01-30
813391088,Alejandro Valverde Belmonte,ESP,male,1980-04-25
288835407,Aleksandar Aleksandrov,AZE,male,1990-04-09
299839075,Aleksandar IVOVIC,MNE,male,1986-02-24
371740701,Aleksandar Karakasevic,SRB,male,1975-12-09
150583899,Aleksandar Kukolj,SRB,male,1991-09-09
156829148,Aleksandar Nikolov,BUL,male,1992-06-18
39610779,Aleksandar RADOVIC,MNE,male,1987-02-24
150706476,Aleksandr Krasnykh,RUS,male,1995-06-19
461398245,Aleksandr Lipatov,RUS,male,1981-06-10
825626228,Aleksandr Markov,RUS,male,1985-05-26
26501082,Aleksandr Popkov,RUS,male,1994-12-27
442737224,Aleksandr Sadovnikov,RUS,male,1996-09-21
928101165,Aleksandra Cotti,ITA,female,1988-12-13
15347644,Aleksandra Crvendakic,SRB,female,1996-03-17
398269007,Aleksandra Jarmolinska,POL,female,1990-09-06
344407164,Aleksandra Krunic,SRB,female,1993-03-15
598990857,Aleksandra Patskevich,RUS,female,1988-11-04
832551080,Aleksandra Romanova,KAZ,female,1990-12-26
778823226,Aleksandra Socha,POL,female,1982-03-30
146965989,Aleksandra Urbanczyk,POL,female,1987-11-13
265023366,Aleksandrs Samoilovs,LAT,male,1985-04-06
282139882,Aleksei Brianskii,RUS,male,1997-09-14
646633611,Aleksei Kurbatov,RUS,male,1994-05-09
200955001,Aleksejs Rumjancevs,LAT,male,1986-02-13
285964258,Aleksejs Saramotins,LAT,male,1982-04-08
169040459,Aleksey Mochalov,UZB,male,1990-02-13
191984367,Aleksi Ojala,FIN,male,1992-12-09
462274321,Alemu Bekele,BRN,male,1990-03-23
571628094,Alen Zasieiev,UKR,male,1988-10-10
871020123,Alena Abramchuk,BLR,female,1988-02-14
603507285,Alena Amialiusik,BLR,female,1989-02-06
390806588,Alena Furman,BLR,female,1991-05-08
84230211,Alena Sharp,CAN,female,1981-03-07
30712954,Alena Sobaleva,BLR,female,1993-05-11
906750380,Alesha Widdall,USA,female,1990-01-03
779596907,Alessandra Aguilar,ESP,female,1978-07-01
236415837,Alessandra Patelli,ITA,female,1991-11-17
